MatMul : Cost(compute_cost=20, output_memory=[460800], temporary_memory=3840, persistent_memory=0)
add : Cost(compute_cost=6, output_memory=[460800], temporary_memory=0, persistent_memory=0)
attention_weights : Cost(compute_cost=12, output_memory=[460800], temporary_memory=921600, persistent_memory=0)
div : Cost(compute_cost=3, output_memory=[460800], temporary_memory=0, persistent_memory=0)
mul : Cost(compute_cost=3, output_memory=[460800], temporary_memory=0, persistent_memory=0)
MatMul_1 : Cost(compute_cost=14, output_memory=[983040], temporary_memory=3840, persistent_memory=0)
transpose : Cost(compute_cost=8, output_memory=[983040], temporary_memory=0, persistent_memory=0)
MatMul : Cost(compute_cost=69, output_memory=[983040], temporary_memory=0, persistent_memory=0)
div : Cost(compute_cost=3, output_memory=[983040], temporary_memory=0, persistent_memory=0)
mul : Cost(compute_cost=5, output_memory=[983040], temporary_memory=0, persistent_memory=0)
add : Cost(compute_cost=4, output_memory=[983040], temporary_memory=0, persistent_memory=0)
Mean : Cost(compute_cost=4, output_memory=[1024], temporary_memory=256, persistent_memory=0)
sub_1 : Cost(compute_cost=4, output_memory=[983040], temporary_memory=0, persistent_memory=0)
Square : Cost(compute_cost=3, output_memory=[983040], temporary_memory=0, persistent_memory=0)
Mean_1 : Cost(compute_cost=4, output_memory=[1024], temporary_memory=256, persistent_memory=0)
